,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
62,20450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20450.00,67753,31771,88.29692624089823,1132875,10.69,0.05,-0.6499999999999999,-92.85714285714285,0,184650,0,0,39350,0.05,20133.15,20450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20450.00,224,25,12.56281407035176,2319,17.9,316.9,-2.6000000000000227,-0.8137715179968773,43700,23750,50,316.5,50,317.15,20133.15
63,20500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20500.00,235297,88724,60.53229448807079,2243332,11.46,0.05,-0.6,-92.3076923076923,0,403950,0,0,201000,0.05,20133.15,20500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20500.00,3318,-812,-19.661016949152543,8283,20.24,367.15,-1.3500000000000227,-0.3663500678426113,105300,24600,50,366.5,50,367.45,20133.15
64,20550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20550.00,27334,10779,65.11023859861069,528630,12.87,0.05,-0.45,-90,0,226700,0,0,129150,0.05,20133.15,20550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20550.00,96,37,62.71186440677966,478,23,415.7,-2.3000000000000114,-0.5502392344497634,40550,22900,50,415.85,50,417.5,20133.15
65,20600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20600.00,71005,31036,77.65017888863869,797275,14.28,0.05,-0.4,-88.8888888888889,0,148050,0,0,55250,0.05,20133.15,20600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20600.00,155,-14,-8.284023668639053,648,21.59,464.8,-0.39999999999997726,-0.08598452278589365,344150,22800,50,463.8,50,466.3,20133.15
66,20650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20650.00,18698,7607,68.58714272833829,278902,16.64,0.05,-0.35000000000000003,-87.5,37450,148950,37450,0.05,7700,0.1,20133.15,20650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20650.00,73,23,46,157,20.52,513.6,-8.299999999999955,-1.5903429775819038,42600,24200,50,511.2,100,516.8,20133.15
67,20700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20700.00,74843,18233,32.20809044338456,569506,17.04,0.05,-0.3,-85.71428571428572,0,125300,0,0,40750,0.05,20133.15,20700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20700.00,85,-5,-5.555555555555555,119,29.1,567.2,-0.5,-0.08807468733485996,23550,22700,50,560.4,14400,571.65,20133.15
68,20750,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20750.00,10603,3534,49.992926863771395,151583,18.4,0.05,-0.3,-85.71428571428572,0,73150,0,0,2100,0.05,20133.15,20750,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20750.00,14,2,16.666666666666668,25,30.39,616.6,-3.0499999999999545,-0.49221334624384006,23150,21350,14400,610.35,50,616.65,20133.15
69,20800,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20800.00,33735,6344,23.160892263882296,377847,19.75,0.05,-0.25,-83.33333333333334,0,318450,0,0,246900,0.05,20133.15,20800,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20800.00,44,-20,-31.25,86,30.92,665.65,1.2999999999999545,0.19567998795814776,24550,24200,1800,660.5,100,667.75,20133.15
70,20850,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20850.00,11700,7961,212.91789248462155,147760,21.09,0.05,-0.25,-83.33333333333334,0,127550,0,0,48650,0.05,20133.15,20850,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20850.00,8,5,166.66666666666666,18,0,711.85,-131.25,-15.567548333531017,7550,7550,600,701.4,50,717.7,20133.15
71,20900,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20900.00,18914,407,2.199167882422867,250001,22.42,0.05,-0.25,-83.33333333333334,0,108050,0,0,20500,0.05,20133.15,20900,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20900.00,9,1,12.5,17,0,762.05,-10.150000000000091,-1.3144263144263262,7550,8150,600,751.35,50,766.95,20133.15
